bodyId,type,type_lab,cluster,function,reference
10001,DNp01,DNp01,10,"escape takeoff, electrical","Lima 2005, Kennedy and Broadie 2018"
10010,DNp01,DNp01,10,"escape takeoff, electrical","Lima 2005, Kennedy and Broadie 2018"
10026,DNp18,DNp18,10,,
10030,pIP1,pIP1,10,,
10033,DNg56,DNg56,7,,
10038,pIP1,pIP1,10,,
10045,DNg100,DNg100,10,walking,Sapkal 2024
10048,DNp18,DNp18,10,,
10054,DNpe013,DNpe013,10,,
10056,DNg100,DNg100,10,walking,Sapkal 2024
10059,DNp20,DNp20,1,"flight (tuned to rotational flow fields), electrical","Suver , 2016"
10063,DNp27,DNp27,10,neuromodulatory,"Meiselman 2022 (im),Chen 2015 (im)"
10065,DNb05,DNb05,10,"fast locomotion (+ wing MNs), ipsiversive steering","Cande, J. 2018 & Yang 2023"
10068,DNp30,DNp30,10,feeding/hunger,Soderberg 2012
10069,AN07B004,AN07B004,1,,
10071,AN12B011,AN12B011,9,,
10087,ANXXX033,ANXXX033,7,,
10090,aSP22,aSP22,10,"courtship: proboscis extension, front leg reaching, abdomen bending",McKellar 2019
10091,DNpe042,DNpe042,10,,
10104,aSP22,aSP22,10,"courtship: proboscis extension, front leg reaching, abdomen bending",McKellar 2019
10106,DNp11,DNp11,10,escape_takeoff,Dombrovski 2023
10117,DNp02,DNp02,10,escape_takeoff,Dombrovski 2023
10118,DNb05,DNb05,10,"fast locomotion (+ wing MNs), ipsiversive steering","Cande, J. 2018 & Yang 2023"
10123,DNg30,DNg30,10,neuromodulatory,"ICLI, Jiang 2013 (im)"
10124,DNg105,DNg105,10,,
10131,DNg74_a,DNg74_a,10,,
10135,DNge031,DNge031,9,,
10141,DNg15,DNg15,4,,
10143,DNp30,DNp30,10,feeding/hunger,Soderberg 2012
10150,AN27X013,AN27X013,11,,
10151,DNge103,DNge103,10,,
10160,DNg90,DNg90,10,,
10162,DNp20,DNp20,1,"flight (tuned to rotational flow fields), electrical","Suver , 2016"
10163,DNge036,DNge036,9,,
10165,AN05B101,AN05B101,7,,
10177,DNg16,DNg16,10,,
10180,AN02A002,AN02A002,11,,
10192,DNg75,DNg75,10,walking,Sapkal 2024
10195,DNp29,DNp29,10,feeding/hunger,Krashes 2009
10197,DNp02,DNp02,10,escape_takeoff,Dombrovski 2023
10199,AN10B022,AN10B022,2,,
10213,DNge083,DNge083,10,,
10216,DNge037,DNge037,7,,
10218,DNg35,DNg35,10,,
