compartment,roi,PreSyn,PostSyn,presyn_traced_frac,postsyn_traced_frac,conn_traced_frac
Central Brain,AB(L),798,6291,0.9245283018867924,0.4063979108862412,0.380120776889179
Central Brain,AB(R),3401,26429,0.9453102028815056,0.3950877461874473,0.3745497739290367
Central Brain,AL(L),626972,3309997,0.8663034133160639,0.5498458456957143,0.4845250003326201
Central Brain,AL(R),656660,3438694,0.9198883374122973,0.5996587535278529,0.5556540809597507
Central Brain,AMMC(L),149319,973500,0.8831337740175111,0.4125204896520111,0.3637662916770176
Central Brain,AMMC(R),139854,918536,0.7877122162100261,0.3802607096852327,0.295074260423433
Central Brain,AOTU(L),147089,965893,0.9691754273823934,0.5367342831176053,0.5232002722364473
Central Brain,AOTU(R),144791,941900,0.980567433699234,0.6044915855955019,0.5952835902878536
Central Brain,ATL(L),25937,199357,0.9571930366310264,0.2783783507890814,0.2673332516690145
Central Brain,ATL(R),22856,177856,0.951396794815658,0.2424185173098832,0.2314892739982481
Central Brain,AVLP(L),1002601,7790475,0.9725528612300436,0.3581725397474329,0.3495696495305689
Central Brain,AVLP(R),934556,7185963,0.983439055531713,0.4686730064424804,0.4625842707918189
Central Brain,BU(L),10112,57066,0.956039603960396,0.3617426917102104,0.3471967236266064
Central Brain,BU(R),9905,58895,0.9652525252525253,0.3521013300425065,0.3412690250925545
Central Brain,CA(L),63065,495052,0.9513661895845896,0.4999928816503182,0.4853697575896861
Central Brain,CA(R),71181,532379,0.9482089636169376,0.5640680808946997,0.5451099203103721
Central Brain,CAN(L),16332,122423,0.9494361363079186,0.363661267962245,0.345995799470368
Central Brain,CAN(R),16330,121894,0.950282000980873,0.3403615461512829,0.3248167277574142
Central Brain,CRE(L),212494,1643607,0.966418297082678,0.3213543291995213,0.3119715506586497
Central Brain,CRE(R),208392,1577000,0.9535981710157876,0.3088302017379713,0.2960793109635743
Central Brain,EB,186468,921447,0.972892228640696,0.7932096081262067,0.7740279251387125
Central Brain,EPA(L),45268,336261,0.9648036788114608,0.3254172845596441,0.3147629546965381
Central Brain,EPA(R),36719,276815,0.9604087193460492,0.3075859799243047,0.2960598248404731
Central Brain,FB,460037,2917047,0.9703178230026543,0.5636740849010694,0.548904814188116
Central Brain,FLA(L),105586,787130,0.8946854684331229,0.2877464671173861,0.2599636599443984
Central Brain,FLA(R),102839,759837,0.9205036391234966,0.2874141998073026,0.2650333898136151
Central Brain,GA(L),6467,34697,0.9775576536139916,0.5660993238517137,0.5546456050361389
Central Brain,GA(R),6384,34562,0.9662797992471768,0.5893763756419662,0.5727659574468085
Central Brain,GNG,2068441,14617581,0.90703283194045,0.3533271075689764,0.321548634832808
Central Brain,GOR(L),47825,351948,0.9488134600092076,0.3184869509480376,0.303071774838529
Central Brain,GOR(R),49375,365711,0.9536764854947596,0.3178666518748613,0.3046566452185489
Central Brain,IB,262094,2132615,0.9645002939222976,0.2797041992583703,0.2708986467763885
Central Brain,ICL(L),284153,2235899,0.9691899827835694,0.3008323955043702,0.2924755394525903
Central Brain,ICL(R),267657,2109280,0.9621177578616116,0.2892776320508247,0.2793917575052564
Central Brain,IPS(L),183045,1321813,0.9667577612592916,0.3404849068624014,0.3299472967082542
Central Brain,IPS(R),192493,1357899,0.9633350310262032,0.3488310528829184,0.3369065168579318
Central Brain,LAL(L),334537,2527598,0.9771624911036284,0.3422981376350593,0.3356827211707658
Central Brain,LAL(R),297806,2267431,0.9748613579031872,0.3389887342922573,0.3318994864143078
Central Brain,LH(L),328438,2857052,0.963376198640044,0.2536521508164375,0.2455309900543448
Central Brain,LH(R),324976,2764279,0.9672224496517252,0.3207483444551289,0.3121269684305816
Central Brain,NO,42043,241539,0.9747621313035204,0.8280636426589926,0.8116470876061022
Central Brain,PB,51265,398409,0.9777565315798716,0.4459072350237374,0.4391207817510862
Central Brain,PED(L),27911,117762,0.9763237193284546,0.7409065810815474,0.7235652413983504
Central Brain,PED(R),29934,128963,0.9783132530120482,0.7345831822267073,0.7198956181706375
Central Brain,PLP(L),505431,3949943,0.9619755608070396,0.298345691354444,0.2877099588275332
Central Brain,PLP(R),537370,4144792,0.9595332680544024,0.348382782343019,0.3356993405774568
Central Brain,PRW,205609,1513366,0.8981225546493294,0.2931258944585544,0.2643573090422597
Central Brain,PVLP(L),652271,4692938,0.9698800169301264,0.4138184411547709,0.4026955127512248
Central Brain,PVLP(R),585830,4194324,0.9776362410033552,0.5035595029707455,0.4940540760736078
Central Brain,ROB(L),3480,21285,0.975813417794414,0.425382744312491,0.417370153097725
Central Brain,ROB(R),3189,19801,0.9692017598994344,0.4083492047150872,0.3975395068718793
Central Brain,RUB(L),2253,12055,0.9924141008478358,0.6218085560584067,0.6176244556399966
Central Brain,RUB(R),2208,12347,0.9859282796187018,0.5786601746138348,0.5711887172599059
Central Brain,SAD,370969,2494048,0.8896504621630961,0.3783434341129399,0.3390019400179536
Central Brain,SCL(L),273271,2224208,0.960956805377088,0.2412346822107988,0.2325051504735536
Central Brain,SCL(R),260766,2103301,0.960790181431734,0.2767196276588866,0.2676951358942562
Central Brain,SIP(L),285182,2189277,0.9593839353061904,0.2886402511308903,0.2782625876319142
Central Brain,SIP(R),288641,2220581,0.93684575389948,0.2899852612953991,0.2749841923194417
Central Brain,SLP(L),690625,5535735,0.9604971991635144,0.2425951482638096,0.2339223086289524
Central Brain,SLP(R),678632,5296753,0.9505505033383936,0.2839208449529262,0.2727469039570325
Central Brain,SMP(L),614776,4775999,0.9664056411449544,0.2874564181401511,0.2788843548748784
Central Brain,SMP(R),631060,4929993,0.9634257292663908,0.2737445254760881,0.2646966934527301
Central Brain,SPS(L),339689,2626898,0.967042967841123,0.3125756940071439,0.302970464859956
Central Brain,SPS(R),341261,2613287,0.9660409771427398,0.3125240268870014,0.3026278384468712
Central Brain,VES(L),268070,2042731,0.9675850770442188,0.3351743657310673,0.3249242268526528
Central Brain,VES(R),273946,2070009,0.9637819026369316,0.3203019232470015,0.3096200253271094
Central Brain,WED(L),303978,2326728,0.9680591621330752,0.3257026089921144,0.3160466297525996
Central Brain,WED(R),289169,2184153,0.9780329661204604,0.3837094911138827,0.376765571200395
Central Brain,a'L(L),27177,133660,0.9685956505713232,0.6456246715361824,0.6304296497147601
Central Brain,a'L(R),33771,179805,0.9481474889501944,0.5616015436565365,0.537601089639908
Central Brain,aL(L),59885,254752,0.9640474239561212,0.7459305005802216,0.7219943726453336
Central Brain,aL(R),70007,295084,0.9535502323918484,0.7344619229386693,0.7045651392478732
Central Brain,b'L(L),61983,285631,0.9602253466561204,0.7677460711040356,0.7364205662118469
Central Brain,b'L(R),52255,254567,0.9168583256669732,0.6605768121362101,0.6084297803435091
Central Brain,bL(L),56287,238877,0.966973585978883,0.7872893001676774,0.7624949045415769
Central Brain,bL(R),49337,229527,0.9507185191199156,0.6892483677477573,0.6573022276483182
Central Brain,gL(L),184946,878350,0.9660332850001082,0.7163722031316667,0.692586492450692
Central Brain,gL(R),173164,807812,0.9574753520108712,0.7231281239638918,0.6940188798458584
Optic Right,AME(R),8039,47694,0.9780903771940744,0.5617294375950008,0.553960479648708
Optic Right,LA(R),288703,1037059,0.3283343504674193,0.355445164892163,0.1481928653460354
Optic Right,LO(R),1942101,14427020,0.9781186824866042,0.5135185398346067,0.5039641143912719
Optic Right,LOP(R),879665,6144193,0.9804026561801892,0.6060150924540662,0.5958577998580461
Optic Right,ME(R),4141553,27364906,0.9748049193454136,0.5698190712757318,0.5586375959884792
Optic Left,AME(L),2659,16073,0.95473406261788,0.4544633642930856,0.4379514963880289
Optic Left,LA(L),237067,811746,0.2555796783131716,0.3247656489971541,0.1229135390054561
Optic Left,LO(L),2002472,14970632,0.9581306239827074,0.4067395803333129,0.3913773350820839
Optic Left,LOP(L),863019,6027458,0.9622386990754368,0.4934836775636972,0.4765982151748872
Optic Left,ME(L),4268315,28398234,0.948175259956658,0.4697056167105756,0.449851465670088
VNC,ANm,1227300,7755078,0.942259767480902,0.4774746071102805,0.4538079672853316
VNC,HTct(UTct-T3)(L),119375,733295,0.973932795225762,0.4157699247107775,0.405906335755029
VNC,HTct(UTct-T3)(R),122664,742632,0.9629505762971784,0.3912630926868016,0.3781605783216148
VNC,IntTct,416926,2435726,0.9451225367802404,0.3712910830296357,0.351802123184802
VNC,LTct,453094,2716905,0.949336677913406,0.4057225977657975,0.387695148316053
VNC,LegNp(T1)(L),1003932,6430939,0.8725269557957825,0.3219722961587764,0.28942605415993
VNC,LegNp(T1)(R),900060,5500030,0.8707731454731321,0.2744208849123667,0.2456334512048518
VNC,LegNp(T2)(L),987103,6420731,0.9152985089749254,0.4321882075345153,0.3985459844014082
VNC,LegNp(T2)(R),918240,5834664,0.9274687021437426,0.4149587729670417,0.3862018188235326
VNC,LegNp(T3)(L),1167969,7752288,0.8830859126479537,0.3856213363648988,0.3454389256889652
VNC,LegNp(T3)(R),1192842,7897069,0.8836472661601485,0.3936349956942327,0.3512872164862707
VNC,NTct(UTct-T1)(L),62926,370818,0.9674715276452248,0.3585170144313734,0.3476131891103284
VNC,NTct(UTct-T1)(R),57521,335446,0.958866703770697,0.3425880302848215,0.3292633096983535
VNC,Ov(L),248070,1440379,0.9680795289562832,0.5700389457982215,0.5534580268671587
VNC,Ov(R),222531,1286435,0.9605217015996332,0.5215628000584394,0.5025879735210268
VNC,WTct(UTct-T2)(L),322195,1712468,0.9643044554224872,0.5038747690588389,0.4870769694421822
VNC,WTct(UTct-T2)(R),327755,1733545,0.9515219222739094,0.470677241612714,0.4492468654163102
VNC,mVAC(T1)(L),39025,210000,0.822139558748076,0.412147274835717,0.3546144182450715
VNC,mVAC(T1)(R),34951,181811,0.7549261083743842,0.3485886635929285,0.2822672814142912
VNC,mVAC(T2)(L),52213,282950,0.879342741007746,0.4710488262072659,0.423108096045702
VNC,mVAC(T2)(R),49571,259004,0.8837401821228825,0.4841894845947325,0.4372002041826265
VNC,mVAC(T3)(L),25018,136218,0.8692781690140845,0.5658464917487831,0.4998441766591476
VNC,mVAC(T3)(R),28360,157746,0.9340345180531536,0.5883272771550702,0.5527912893571479
