compartment,roi,roi_base,roi_side,PreSyn,PostSyn,presyn_traced_frac,postsyn_traced_frac,conn_traced_frac,synweight_traced_frac
CNS Major Compartments,CV,CV,C,28414,122569,0.3943478566903639,0.2968274059858724,0.0557184271773304,0.3191294761340901
CNS Major Compartments,CentralBrain,CentralBrain,C,20311220,146214930,0.9451066229265028,0.3684828438071236,0.3510271943406688,0.6613760206937297
CNS Major Compartments,Optic(L),Optic,L,7571353,51395970,0.9288246436959416,0.4511466119882947,0.4297258661077105,0.6994233799577853
CNS Major Compartments,Optic(R),Optic,R,7341747,49395720,0.9493628437290408,0.5530267388521949,0.5379404733588397,0.7595108723984048
CNS Major Compartments,VNC,VNC,C,10371748,64552116,0.910940647827967,0.4026225015376023,0.3723366235384103,0.656741170447883
Central Brain,AB(L),AB,L,798,6291,0.9245283018867924,0.4063979108862412,0.380120776889179,0.6736575811979761
Central Brain,AB(R),AB,R,3401,26429,0.9453102028815056,0.3950877461874473,0.3745497739290367,0.6736531534983524
Central Brain,AL(L),AL,L,626980,3310043,0.8668171341526634,0.5502161394613567,0.4850752496731298,0.7043037999179952
Central Brain,AL(R),AL,R,656660,3438694,0.9201700828940896,0.5998703228483807,0.5559878773980524,0.7610451117010348
Central Brain,AOTU(L),AOTU,L,147089,965896,0.9691754273823934,0.5367342068951207,0.5232002240966105,0.7547656841690269
Central Brain,AOTU(R),AOTU,R,144791,941900,0.980567433699234,0.6044947791198859,0.5952867838122378,0.7938558719865105
Central Brain,ATL(L),ATL,L,25938,199360,0.9577350625289486,0.2784151806220462,0.2675901068727224,0.6242280563863342
Central Brain,ATL(R),ATL,R,22856,177856,0.951396794815658,0.2425730953975805,0.2316209516285088,0.6040539534777207
Central Brain,AVLP(L),AVLP,L,1002602,7790490,0.9725808205403432,0.3581794332805136,0.3495845438735829,0.6686419765799884
Central Brain,AVLP(R),AVLP,R,934567,7186034,0.9834606728104976,0.4686857145727728,0.4626043183899266,0.728119755823173
Central Brain,BU(L),BU,L,10112,57066,0.956039603960396,0.3617426917102104,0.3471967236266064,0.6653544697076684
Central Brain,BU(R),BU,R,9905,58898,0.9652525252525253,0.3521346427408435,0.3413028947503728,0.6640958404031055
Central Brain,CA(L),CA,L,63065,495052,0.9513661895845896,0.4999928816503182,0.4853697575896861,0.7358593983570849
Central Brain,CA(R),CA,R,71181,532379,0.94943204183771,0.5652297097438939,0.5471630756909803,0.7663359959503541
Central Brain,CAN(L),CAN,L,16332,122423,0.9494361363079186,0.363677870846166,0.3460124023542889,0.6591095873353201
Central Brain,CAN(R),CAN,R,16331,121896,0.9508367559615032,0.3404721444755431,0.3250699720111955,0.648307343729175
Central Brain,CRE(L),CRE,L,218229,1676981,0.9677327634439176,0.3249115049040907,0.3159458473804127,0.6504786739155816
Central Brain,CRE(R),CRE,R,213791,1609159,0.9543392463377296,0.3121672495390694,0.2995330115450795,0.6382110682353059
Central Brain,EB,EB,C,186469,921449,0.9728923740358932,0.7932102825226032,0.7740286620914869,0.8840862667424727
Central Brain,EPA(L),EPA,L,45268,336261,0.9648036788114608,0.3254233005561789,0.3147689706930728,0.6488643302541458
Central Brain,EPA(R),EPA,R,36722,276828,0.9604664468844508,0.3076141166834861,0.2960964123265031,0.6378705775671684
Central Brain,FB,FB,C,460038,2917059,0.9703178875327736,0.5636738848673297,0.5489047003818249,0.7695237938241765
Central Brain,FLA(L),FLA,L,105587,787132,0.8948759985974621,0.2878033183479912,0.2600759411424044,0.595181962116747
Central Brain,FLA(R),FLA,R,102839,759837,0.9205230996769548,0.2874567261370809,0.2650692714043656,0.6081305026745074
Central Brain,GNG,GNG,C,2068906,14620320,0.9077091038142036,0.3536645229700866,0.3220257214734311,0.6327009374604743
Central Brain,GOR(L),GOR,L,47826,351957,0.9488145311486388,0.3184912720364478,0.3030765854982417,0.6377707458756546
Central Brain,GOR(R),GOR,R,49375,365715,0.953737304113366,0.3178759824939955,0.304685463249039,0.6407511052190746
Central Brain,IB,IB,C,262094,2132615,0.9647407758021788,0.2797519578665047,0.2710069311453271,0.6260063589877445
Central Brain,ICL(L),ICL,L,284153,2235900,0.9696582415299738,0.3008791325675665,0.2926475744756798,0.6381744816290769
Central Brain,ICL(R),ICL,R,267657,2109288,0.9622111927524424,0.2894916921548824,0.2796125313678158,0.6288937278694239
Central Brain,IPS(L),IPS,L,183045,1321813,0.9668342807170968,0.3404940514474354,0.3299785407071203,0.6569130776710571
Central Brain,IPS(R),IPS,R,192493,1357899,0.9637819746593352,0.3489029812452356,0.3371445478301363,0.6598022044189227
Central Brain,LAL(L),LAL,L,341006,2562333,0.9770912419251688,0.3453071616403995,0.3385934305328302,0.6638449991184743
Central Brain,LAL(R),LAL,R,304191,2302001,0.9746623565817036,0.3427361952524415,0.3354986211960584,0.6615216509129634
Central Brain,LH(L),LH,L,328438,2857054,0.963376198640044,0.2536642693771146,0.2455427629845376,0.6140362650064821
Central Brain,LH(R),LH,R,325009,2764553,0.9672412678774224,0.3207778521384427,0.3121656269300803,0.6483590386559533
Central Brain,NO,NO,C,42043,241539,0.9747621313035204,0.8280636426589926,0.8116470876061022,0.90343715142292
Central Brain,PB,PB,C,51265,398413,0.9777565315798716,0.4459077796740723,0.439121394733,0.7153544476496856
Central Brain,PED(L),PED,L,27912,117772,0.976324568640815,0.7408174180080396,0.7234787709400825,0.8581206976864552
Central Brain,PED(R),PED,R,29934,128963,0.9785475234270417,0.7348906513615364,0.7205263240882358,0.8563685530029486
Central Brain,PLP(L),PLP,L,505437,3949981,0.9622095554763884,0.2983406014352188,0.2877516483729145,0.6337925741608665
Central Brain,PLP(R),PLP,R,537370,4144808,0.9597063937362011,0.3485260173652851,0.3359384171762831,0.6575403836507461
Central Brain,PRW,PRW,C,205610,1513368,0.8983128379068873,0.2932137260545588,0.2644512136620934,0.5999738825460786
Central Brain,PVLP(L),PVLP,L,652275,4692949,0.9698617994896456,0.4138190462165952,0.4026882627210789,0.6942127374313155
Central Brain,PVLP(R),PVLP,R,585840,4194393,0.9782171793492644,0.5041681902506282,0.4950072772600121,0.7430276564634865
Central Brain,SAD,SAD,C,660149,4386118,0.8673860060748259,0.3865526948598375,0.3356744242417565,0.6257418772248283
Central Brain,SCL(L),SCL,L,273275,2224227,0.9616529324981788,0.2413373080890143,0.2327809534249653,0.6061728148998075
Central Brain,SCL(R),SCL,R,260767,2103310,0.9613773259159792,0.2769873559111283,0.2681549822921446,0.6235928793059019
